TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_QT_COTA;TAB_X_VL_COTA
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Senior Série 6;96218.00;1218.46
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Senior Série 7;5200.00;1104.55
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Subordinada Subordinada 1 |;24030.90;548.67
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Subordinada Mezanino 3 |;3000.00;1225.60
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Subordinada Mezanino 4 |;7818.43;1560.74
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Subordinada Mezanino 5 |;11164.97;1369.29
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Subordinada Mezanino 6 |;12877.00;1363.79
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Subordinada Mezanino 7 |;2874.29;895.57
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Subordinada Mezanino 8 |;27366.61;1058.55
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Subordinada Mezanino 9 |;2475.00;1197.20
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Subordinada Mezanino 10 |;700.00;1119.07
Fundo;32.971.589/0001-61;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BRAVA CHALLENGE;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;32.971.589/0001-61;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BRAVA CHALLENGE;2025-02-28;Subclasse Subordinada Subordinada 1 |;0.00;0.00
Fundo;33.304.615/0001-60;FORCE CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO;2025-02-28;Subclasse Senior Série 6;9948.57;1412.20
Fundo;33.304.615/0001-60;FORCE CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO;2025-02-28;Subclasse Senior Série 7;6765.84;1435.41
Fundo;33.304.615/0001-60;FORCE CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO;2025-02-28;Subclasse Subordinada Subordinada 1 |;4195.89;3286.03
Fundo;33.498.764/0001-08;BRAFIC FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Senior Série 1;2052.31;2579.50
Fundo;33.498.764/0001-08;BRAFIC FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Subordinada Subordinada 1 |;7257.94;1081.81
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 2;5400.00;2143.32
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 23;5000.00;1908.18
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 62;773.00;1646.46
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 65;1552.75;1621.37
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 71;500.00;1476.28
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 73;4000.00;1417.34
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 74;25000.00;1412.45
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 75;12494.99;1405.93
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 87;1495.47;1177.95
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 89;1029.06;1166.57
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 90;740.89;1152.73
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 91;8000.00;1182.48
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 92;2712.63;1132.06
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 93;864.88;1125.90
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 94;2060.00;1118.82
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 95;1550.00;1104.08
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 96;3250.00;1084.90
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 97;1500.00;1090.01
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 98;2150.00;1073.36
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 99;2000.00;1040.50
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 100;2369.74;1049.90
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 101;3061.58;1039.63
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Senior Série 102;706.00;1015.84
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Subordinada Subordinada 1 |;11853.79;8800.14
Fundo;33.554.498/0001-93;LATACHE HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS FIDC NP;2025-02-28;Subclasse Subordinada Mezanino 2 | Série 2;15000.00;1125.74
Fundo;33.554.563/0001-80;SOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃOPADRONIZADOS - FIDC NP;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;33.554.563/0001-80;SOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃOPADRONIZADOS - FIDC NP;2025-02-28;Subclasse Subordinada Subordinada 1 |;0.00;0.00
Fundo;33.823.975/0001-79;ASGARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;33.823.975/0001-79;ASGARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;Subclasse Subordinada Subordinada 1 |;25719.69;968.16
Fundo;34.027.968/0001-23;MERIDIONAL I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Senior Série 1;0.00;0.00
Fundo;34.027.968/0001-23;MERIDIONAL I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Subordinada Subordinada 1 |;5008.91;226.89
Fundo;34.081.900/0001-22;GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;34.081.900/0001-22;GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO;2025-02-28;Subclasse Subordinada Subordinada 1 |;209290.13;9323.42
Fundo;34.095.981/0001-10;ACQIO 1.5 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;34.095.981/0001-10;ACQIO 1.5 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;Subclasse Subordinada  |;0.00;0.00
Fundo;34.553.995/0001-30;MANHATTAN FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Senior Série 1;0.00;0.00
Fundo;34.553.995/0001-30;MANHATTAN FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Subordinada Subordinada 1 |;7816.82;1104.04
Fundo;34.599.321/0001-76;ALL RISCKS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;34.599.321/0001-76;ALL RISCKS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2025-02-28;Subclasse Subordinada Subordinada 1 |;116511.28;805.29
Fundo;34.691.300/0001-86;ALPHA CRÉDITO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;Subclasse Senior Série 1;0.00;0.00
Fundo;34.691.300/0001-86;ALPHA CRÉDITO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;Subclasse Subordinada Subordinada 1 |;3971.35;1011.13
Fundo;34.691.300/0001-86;ALPHA CRÉDITO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;Subclasse Subordinada Mezanino 1 | Série 1;5077.85;918.90
Fundo;34.691.300/0001-86;ALPHA CRÉDITO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;Subclasse Subordinada Mezanino 2 | Série 1;3236.94;1025.81
Fundo;35.138.055/0001-47;FI NAS CADEIAS PROD AGROINDUSTRIAIS - FIAGRO DIREITOS CREDITORIOS FIGTREE PRODUTORES AGRICOLAS I;2025-02-28;Subclasse Senior Série 1;0.00;0.00
Fundo;35.138.055/0001-47;FI NAS CADEIAS PROD AGROINDUSTRIAIS - FIAGRO DIREITOS CREDITORIOS FIGTREE PRODUTORES AGRICOLAS I;2025-02-28;Subclasse Senior Série 2;0.00;0.00
Fundo;35.138.055/0001-47;FI NAS CADEIAS PROD AGROINDUSTRIAIS - FIAGRO DIREITOS CREDITORIOS FIGTREE PRODUTORES AGRICOLAS I;2025-02-28;Subclasse Senior Série 3;55925.84;1037.15
Fundo;35.138.055/0001-47;FI NAS CADEIAS PROD AGROINDUSTRIAIS - FIAGRO DIREITOS CREDITORIOS FIGTREE PRODUTORES AGRICOLAS I;2025-02-28;Subclasse Subordinada Subordinada 1 |;150000.00;1205.84
Fundo;35.557.748/0001-74;NEON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS 1;2025-02-28;Subclasse Senior Série 1;0.00;0.00
Fundo;35.557.748/0001-74;NEON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS 1;2025-02-28;Subclasse Senior Série 2;0.00;0.00
Fundo;35.557.748/0001-74;NEON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS 1;2025-02-28;Subclasse Subordinada Subordinada 1 |;0.00;0.00
Fundo;35.557.748/0001-74;NEON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS 1;2025-02-28;Subclasse Subordinada Mezanino 1 | Série 1;0.00;0.00
Fundo;35.686.610/0001-75;IRONSIDE - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃOPADRONIZADOS;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;35.686.610/0001-75;IRONSIDE - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃOPADRONIZADOS;2025-02-28;Subclasse Subordinada Subordinada 1 |;12752.12;512.77
Fundo;35.686.949/0001-71;GREEN WAY I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADO;2025-02-28;Subclasse Senior Série 1;0.00;0.00
Fundo;35.686.949/0001-71;GREEN WAY I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADO;2025-02-28;Subclasse Subordinada Subordinada 1 |;137650.08;939.04
Fundo;35.689.357/0001-03;ÁSTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;Subclasse Senior Série 1;3999.44;2279.17
Fundo;35.689.357/0001-03;ÁSTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;Subclasse Senior Série 2;400.00;2214.72
Fundo;35.689.357/0001-03;ÁSTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-02-28;Subclasse Subordinada Subordinada 1 |;84856.35;1685.69
Fundo;35.817.262/0001-28;CRÉDITOS CCC - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;35.817.262/0001-28;CRÉDITOS CCC - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Subordinada Subordinada 1 |;10053032.45;0.00
Fundo;35.817.262/0001-28;CRÉDITOS CCC - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Subordinada Mezanino 5 | Série 1;61180000.00;1.08
Fundo;35.820.716/0001-10;FRADE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;Subclasse Senior;0.00;0.00
