TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_VL_RENTAB_MES
Classe;08.611.414/0001-69;V3 FIDC MULTICARTEIRA - NP;2025-02-28;Subclasse Subordinada Subordinada 1 |;0.09
Classe;08.632.394/0001-02;RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA;2025-02-28;Subclasse Senior Série 1;1.17
Classe;08.632.394/0001-02;RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA;2025-02-28;Subclasse Senior Série 2;1.13
Classe;08.632.394/0001-02;RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA;2025-02-28;Subclasse Senior Série 3;1.16
Classe;08.632.394/0001-02;RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA;2025-02-28;Subclasse Subordinada Subordinada 1 |;2.73
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Senior Série 13;0.00
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Senior Série 12;0.00
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Senior Série 1;0.00
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Senior Série 5;0.00
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Senior Série 7;0.00
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Senior Série 8;0.00
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Senior Série 9;0.00
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Senior Série 10;0.00
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Senior Série 11;0.00
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Senior Série 14;1.26
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Senior Série 15;1.26
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;Subclasse Subordinada Mezanino 1 | Série 2;0.00
